endTime,trackName,msPlayed,artistId
2023-09-11 02:35,Pushing On,141280,38Z7dMMVB0YYbKn4fDYNz3
2023-09-11 02:41,Just A Lover,6955,4csQIMQm6vI2A2SCVDuM2z
2023-09-11 02:41,(It Happens) Sometimes,202276,4bXUaTjc7TQTvLqqCAlfYt
2023-09-12 00:02,Wapo Traketero - El Paredon Live Session,4710,2UZIAOlrnyZmyzt1nuXr9y
2023-09-12 00:05,Wapo Traketero - El Paredon Live Session,181870,2UZIAOlrnyZmyzt1nuXr9y
2023-09-12 00:06,Ángel de la Noche,99766,3E7NGbzUGlOjgYY8nvtijR
2023-09-12 00:07,DELITO,39732,3VHAySZQPlfGlNLslzXYpN
2023-09-12 00:10,No Se Perdona,183610,2IMZYfNi21MGqxopj9fWx8
2023-09-12 00:12,OKUPA,143000,5YCc6xS5Gpj3EkaYGdjyNK
2023-09-12 00:14,q haces?,71190,1lapQeH8MRBluX1sSUEgeg
2023-09-12 00:21,Mi Deseo,175609,3E7NGbzUGlOjgYY8nvtijR
2023-09-12 13:30,BUENOS AIRES,240315,3VHAySZQPlfGlNLslzXYpN
2023-09-12 13:33,Mi Deseo,175609,3E7NGbzUGlOjgYY8nvtijR
2023-09-12 13:36,A Mí,209680,2IMZYfNi21MGqxopj9fWx8
2023-09-12 13:39,LADO A LADO,184701,7fT2Me47PQ8T7954PKrcwR
2023-09-12 13:42,LA PRIMERA,199055,4cJD9t5QBFTUQcd3xfbOb2
2023-09-12 13:43,Disfruto: Challenge,27657,1LU7BxbUvvuA4eNDdEO22D
2023-09-12 13:46,PELOTUDA,185905,4cJD9t5QBFTUQcd3xfbOb2
2023-09-12 13:48,DEMIAN,112076,4cJD9t5QBFTUQcd3xfbOb2
2023-09-12 13:51,POST MORTEM,159326,4cJD9t5QBFTUQcd3xfbOb2
2023-09-12 13:54,BICICLETA,207646,4cJD9t5QBFTUQcd3xfbOb2
2023-09-12 13:55,DUO,42662,4cJD9t5QBFTUQcd3xfbOb2
2023-09-12 13:57,PISO 13,119136,4cJD9t5QBFTUQcd3xfbOb2
2023-09-12 14:00,SIDE,191438,4cJD9t5QBFTUQcd3xfbOb2
2023-09-12 14:03,COACH,177575,4cJD9t5QBFTUQcd3xfbOb2
2023-09-12 14:04,BOHEMIAN GROOVE SKIT,60772,4cJD9t5QBFTUQcd3xfbOb2
2023-09-12 14:07,OPA,169824,4cJD9t5QBFTUQcd3xfbOb2
2023-09-12 14:08,RILI RILI,74199,4cJD9t5QBFTUQcd3xfbOb2
2023-09-12 16:55,TODA LA GENTE,116003,4cJD9t5QBFTUQcd3xfbOb2
2023-09-12 16:57,REALITY,131832,4cJD9t5QBFTUQcd3xfbOb2
2023-09-12 17:55,ROCKETPOWERS,125083,4cJD9t5QBFTUQcd3xfbOb2
2023-09-14 19:01,Nightcall,257320,0UF7XLthtbSF2Eur7559oV
2023-09-14 19:05,Lovin' Feeling,204933,6MJKlN8ya42Agsw3iQZs6e
2023-09-14 19:08,Busy Earnin',181772,59oA5WbbQvomJz2BuRG071
2023-09-14 19:11,Overnight,219604,3oKRxpszQKUjjaHz388fVA
2023-09-14 19:13,Nangs,107533,5INjqkS1o8h1imAzPqGZBb
2023-09-14 19:17,Dancin (feat. Luvli) - Krono Remix,198053,77qukKzmdI5BeMBR7WGUrN
2023-09-14 19:20,What You Know,191706,536BYVgOnRky0xjsPT96zl
2023-09-14 19:24,We Are The People,267373,67hb7towEyKvt5Z8Bx306c
2023-09-14 19:30,Close Eyes,132346,0XFgyr4jwM0MGeZZW0VzA5
2023-09-14 19:34,Elephant,146093,5INjqkS1o8h1imAzPqGZBb
2023-09-16 04:00,Electric Feel,229640,0SwO7SWeDHJijQ3XNS7xEE
2023-09-16 04:03,All Night,166613,65EXuYHVoehCKqp0kOS6px
2023-09-16 04:06,1901,193106,1xU878Z1QtBldR7ru9owdU
2023-09-16 04:11,TERRITORY,276373,1Dt1UKLtrJIW1xxRBejjos
2023-09-16 04:15,Young Folks,276693,6u11Qbko2N2hP4lTBYjX86
2023-09-16 04:19,Breezeblocks,227080,3XHO7cRUPCLOr6jwp8vsx5
2023-09-16 04:20,Rhinestone Eyes,45557,3AA28KZvwAUcZuOKwyblJQ
2023-09-16 04:21,La femme à la peau bleue,17941,0wuuYZFptujAsRthrdea2B
2023-09-16 04:24,Nano Attack,16000,2VMefj2Ob7Dc7PElvmMdOX
2023-09-16 04:24,G.O.A.T.,215998,4vGrte8FDu062Ntj0RsPiZ
